County,03/22,03/23,03/24,03/25,03/26,03/27,03/28,03/29,03/30,03/31,04/01,04/02,04/03,04/04,04/05,04/06,04/07,04/08,04/09,04/10,04/11,04/12,04/13,04/14,04/15,04/16,04/17,04/18
Lubbock,9.0,9.0,12.0,13.0,19.0,29.0,31.0,41.0,51.0,77.0,100.0,108.0,117.0,138.0,154.0,180.0,180.0,191.0,214.0,234.0,249.0,270.0,307.0,317.0,330.0,367.0,401.0,407.0
Montgomery,13.0,19.0,23.0,31.0,41.0,47.0,63.0,65.0,81.0,93.0,110.0,119.0,130.0,142.0,149.0,161.0,197.0,210.0,231.0,231.0,251.0,251.0,266.0,308.0,331.0,331.0,370.0,370.0
Brazoria,14.0,16.0,28.0,28.0,39.0,39.0,61.0,61.0,68.0,95.0,95.0,109.0,123.0,144.0,144.0,167.0,173.0,173.0,184.0,199.0,216.0,225.0,237.0,250.0,259.0,272.0,285.0,302.0
Cameron,6.0,6.0,6.0,7.0,10.0,13.0,13.0,20.0,20.0,26.0,26.0,37.0,55.0,62.0,77.0,87.0,101.0,108.0,118.0,147.0,159.0,195.0,195.0,216.0,239.0,254.0,270.0,279.0
Webb,4.0,4.0,4.0,9.0,11.0,19.0,25.0,30.0,35.0,45.0,45.0,63.0,65.0,83.0,98.0,122.0,122.0,135.0,155.0,166.0,171.0,191.0,196.0,206.0,223.0,239.0,245.0,253.0
Hidalgo,2.0,2.0,2.0,7.0,9.0,11.0,18.0,27.0,28.0,38.0,46.0,62.0,79.0,86.0,86.0,99.0,113.0,128.0,139.0,146.0,181.0,190.0,190.0,198.0,217.0,225.0,235.0,242.0
Jefferson,3.0,6.0,6.0,6.0,7.0,8.0,12.0,16.0,18.0,18.0,27.0,31.0,40.0,40.0,58.0,59.0,78.0,78.0,87.0,94.0,100.0,100.0,127.0,134.0,140.0,143.0,157.0,171.0
Brazos,12.0,12.0,16.0,21.0,28.0,31.0,40.0,44.0,46.0,53.0,63.0,68.0,72.0,75.0,94.0,94.0,97.0,108.0,108.0,116.0,134.0,134.0,143.0,143.0,149.0,151.0,164.0,169.0
Williamson,9.0,14.0,14.0,22.0,27.0,34.0,34.0,37.0,37.0,42.0,50.0,63.0,71.0,71.0,77.0,77.0,81.0,87.0,97.0,103.0,110.0,113.0,117.0,119.0,124.0,128.0,140.0,146.0
Taylor,0.0,0.0,0.0,0.0,1.0,2.0,3.0,9.0,11.0,14.0,14.0,18.0,23.0,27.0,31.0,31.0,38.0,38.0,51.0,55.0,55.0,59.0,68.0,68.0,74.0,79.0,89.0,126.0
